logfc	mating
-0.43278363503213	ov_M
-0.489734425425113	ov_M
-0.51043308782544	ov_M
-0.579247928213633	ov_M
-0.646160844877365	ov_M
-0.705839131381053	ov_M
-0.715683622078214	ov_M
-0.724874788087128	ov_M
-0.752564493460973	ov_M
-0.809384457218074	ov_M
-0.89843230151338	ov_M
-0.935860799155619	ov_M
-0.960823546753952	ov_M
-0.966008187577839	ov_M
-0.973242178053707	ov_M
-0.987071286385957	ov_M
-1.17669810908319	ov_M
-1.23393198186171	ov_M
-1.30653541835856	ov_M
-1.39436655902772	ov_M
-1.40109553385627	ov_M
-1.46478669372682	ov_M
-1.4802007452474	ov_M
-1.49179860268741	ov_M
-1.4981898099241	ov_M
-1.58235082660601	ov_M
-1.59098977864365	ov_M
-1.6235790343315	ov_M
-1.65577097687828	ov_M
-1.66766143455426	ov_M
-1.74549004985883	ov_M
-1.74689210582133	ov_M
-1.76818793755355	ov_M
-1.80317214784224	ov_M
-1.91038467226178	ov_M
-1.97791715899766	ov_M
-1.98499125029794	ov_M
-2.00988602793462	ov_M
-2.27628541803928	ov_M
-2.35117916351347	ov_M
-2.37632954115411	ov_M
-2.72538554037736	ov_M
-2.93686120731972	ov_M
-3.02049463891887	ov_M
-3.0552002988925	ov_M
-3.18148228596941	ov_M
-3.26153343098843	ov_M
-3.41318337299145	ov_M
-3.70870436672767	ov_M
-5.72401655158172	ov_M
-6.16876567210486	ov_M
-7.40403857756137	ov_M
-7.40504775421315	ov_M
-7.70652042125145	ov_M
0.446616149553379	ov_E
0.447723733178974	ov_E
0.46536760946412	ov_E
0.482222779972979	ov_E
0.516569232287181	ov_E
0.521630325011078	ov_E
0.591119388292336	ov_E
0.591294096836403	ov_E
0.60391422742711	ov_E
0.605509985645115	ov_E
0.606459624946836	ov_E
0.631643193383923	ov_E
0.638976572419252	ov_E
0.645521805585367	ov_E
0.680560182994633	ov_E
0.704179181167047	ov_E
0.719636794814558	ov_E
0.751944809314958	ov_E
0.762150997969008	ov_E
0.765482495309029	ov_E
0.866443485590675	ov_E
0.879452531527136	ov_E
0.887547541565611	ov_E
0.88832339120488	ov_E
0.904124682177882	ov_E
0.915090037324087	ov_E
0.94907666280081	ov_E
0.96928866525197	ov_E
1.02230031937777	ov_E
1.06249581226913	ov_E
1.06877949889495	ov_E
1.09583631965796	ov_E
1.10352753215046	ov_E
1.13776893962666	ov_E
1.13842347881538	ov_E
1.14795427915988	ov_E
1.25505108036419	ov_E
1.32847401359019	ov_E
1.36105692183402	ov_E
1.41491631984785	ov_E
1.49459913121377	ov_E
1.5131173216675	ov_E
1.52722431766741	ov_E
1.58224948194362	ov_E
1.6664808522529	ov_E
1.72125341816203	ov_E
1.75940382319079	ov_E
1.78175008321715	ov_E
1.78915798760321	ov_E
1.89081153721515	ov_E
1.99681494607792	ov_E
2.06434158103285	ov_E
2.10934355698587	ov_E
