logfc	females
1.738093144	frt_E_virgin
1.742131518	frt_E_virgin
1.746806634	frt_E_virgin
1.751179385	frt_E_virgin
1.754312719	frt_E_virgin
1.755410601	frt_E_virgin
1.758553456	frt_E_virgin
1.762060874	frt_E_virgin
1.762093574	frt_E_virgin
1.773427616	frt_E_virgin
1.782793687	frt_E_virgin
1.787601162	frt_E_virgin
1.790733213	frt_E_virgin
1.806842886	frt_E_virgin
1.807582305	frt_E_virgin
1.808619093	frt_E_virgin
1.817023121	frt_E_virgin
1.820227821	frt_E_virgin
1.827740652	frt_E_virgin
1.834649842	frt_E_virgin
1.841429121	frt_E_virgin
1.84883558	frt_E_virgin
1.850564549	frt_E_virgin
1.858262665	frt_E_virgin
1.864083267	frt_E_virgin
1.873932226	frt_E_virgin
1.876446488	frt_E_virgin
1.879987298	frt_E_virgin
1.886186683	frt_E_virgin
1.890701354	frt_E_virgin
1.891495195	frt_E_virgin
1.942786233	frt_E_virgin
1.94568382	frt_E_virgin
1.958220637	frt_E_virgin
1.965102715	frt_E_virgin
1.965207699	frt_E_virgin
1.977070326	frt_E_virgin
1.977470817	frt_E_virgin
1.993791473	frt_E_virgin
2.014192554	frt_E_virgin
2.01564207	frt_E_virgin
2.018649314	frt_E_virgin
2.020533843	frt_E_virgin
2.020866576	frt_E_virgin
2.022589441	frt_E_virgin
2.024632799	frt_E_virgin
2.025168917	frt_E_virgin
2.028946446	frt_E_virgin
2.037013306	frt_E_virgin
2.037617659	frt_E_virgin
2.042531244	frt_E_virgin
2.045375471	frt_E_virgin
2.061176816	frt_E_virgin
2.066046783	frt_E_virgin
2.0735932	frt_E_virgin
2.08393547	frt_E_virgin
2.093541548	frt_E_virgin
2.106437032	frt_E_virgin
2.114978738	frt_E_virgin
2.119933529	frt_E_virgin
2.123481577	frt_E_virgin
2.133986233	frt_E_virgin
2.153984509	frt_E_virgin
2.161043714	frt_E_virgin
2.161606784	frt_E_virgin
2.162845873	frt_E_virgin
2.165037577	frt_E_virgin
2.171928538	frt_E_virgin
2.172848393	frt_E_virgin
2.183429991	frt_E_virgin
2.187291014	frt_E_virgin
2.188905374	frt_E_virgin
2.203011776	frt_E_virgin
2.210951443	frt_E_virgin
2.211852197	frt_E_virgin
2.214105457	frt_E_virgin
2.218367448	frt_E_virgin
2.220955659	frt_E_virgin
2.222814878	frt_E_virgin
2.228091929	frt_E_virgin
2.232704384	frt_E_virgin
2.236429013	frt_E_virgin
2.253856547	frt_E_virgin
2.258619964	frt_E_virgin
2.259806218	frt_E_virgin
2.263227717	frt_E_virgin
2.26862232	frt_E_virgin
2.271430422	frt_E_virgin
2.274611554	frt_E_virgin
2.291389667	frt_E_virgin
2.292076694	frt_E_virgin
2.297327118	frt_E_virgin
2.308115369	frt_E_virgin
2.308138233	frt_E_virgin
2.309085567	frt_E_virgin
2.326192896	frt_E_virgin
2.328387521	frt_E_virgin
2.328761374	frt_E_virgin
2.334475342	frt_E_virgin
2.340502056	frt_E_virgin
2.342578123	frt_E_virgin
2.348028582	frt_E_virgin
2.358430107	frt_E_virgin
2.382031242	frt_E_virgin
2.394170424	frt_E_virgin
2.394781712	frt_E_virgin
2.420714872	frt_E_virgin
2.423476693	frt_E_virgin
2.43956099	frt_E_virgin
2.443683354	frt_E_virgin
2.444363264	frt_E_virgin
2.445316665	frt_E_virgin
2.451382991	frt_E_virgin
2.468193279	frt_E_virgin
2.484264859	frt_E_virgin
2.48921737	frt_E_virgin
2.492900219	frt_E_virgin
2.561326188	frt_E_virgin
2.568964933	frt_E_virgin
2.573899562	frt_E_virgin
2.593746252	frt_E_virgin
2.620121071	frt_E_virgin
2.626208196	frt_E_virgin
2.63397695	frt_E_virgin
2.655641378	frt_E_virgin
2.693158818	frt_E_virgin
2.76936086	frt_E_virgin
2.77812548	frt_E_virgin
2.790280725	frt_E_virgin
2.790744409	frt_E_virgin
2.813754416	frt_E_virgin
2.82569069	frt_E_virgin
2.836173145	frt_E_virgin
2.84389388	frt_E_virgin
2.853205239	frt_E_virgin
2.869452641	frt_E_virgin
2.877271025	frt_E_virgin
2.889402259	frt_E_virgin
2.925054549	frt_E_virgin
2.995501885	frt_E_virgin
3.033873076	frt_E_virgin
3.084981971	frt_E_virgin
3.105417886	frt_E_virgin
3.143122179	frt_E_virgin
3.169067852	frt_E_virgin
3.217233702	frt_E_virgin
3.256080858	frt_E_virgin
3.293758841	frt_E_virgin
3.309671006	frt_E_virgin
3.379605239	frt_E_virgin
3.394688479	frt_E_virgin
3.423865431	frt_E_virgin
3.427938117	frt_E_virgin
3.446129925	frt_E_virgin
3.462434766	frt_E_virgin
3.48402736	frt_E_virgin
3.501423151	frt_E_virgin
3.525791089	frt_E_virgin
3.528910474	frt_E_virgin
3.546396318	frt_E_virgin
3.557471024	frt_E_virgin
3.561976095	frt_E_virgin
3.623970632	frt_E_virgin
3.639140407	frt_E_virgin
3.76563917	frt_E_virgin
3.809920428	frt_E_virgin
3.955241901	frt_E_virgin
4.052544724	frt_E_virgin
4.123968908	frt_E_virgin
4.161933303	frt_E_virgin
4.182927861	frt_E_virgin
4.296051646	frt_E_virgin
4.439659876	frt_E_virgin
4.51063195	frt_E_virgin
4.574493392	frt_E_virgin
4.72309055	frt_E_virgin
4.772125185	frt_E_virgin
4.83331309	frt_E_virgin
4.84954483	frt_E_virgin
5.052212024	frt_E_virgin
5.104247693	frt_E_virgin
5.126023932	frt_E_virgin
5.18834007	frt_E_virgin
5.477878495	frt_E_virgin
5.558834793	frt_E_virgin
5.761099176	frt_E_virgin
5.855225471	frt_E_virgin
6.03796107	frt_E_virgin
6.146772067	frt_E_virgin
6.17961807	frt_E_virgin
6.199298543	frt_E_virgin
6.374110938	frt_E_virgin
6.466054542	frt_E_virgin
6.548530364	frt_E_virgin
6.686922965	frt_E_virgin
6.726226949	frt_E_virgin
6.731189993	frt_E_virgin
6.751517939	frt_E_virgin
6.842570328	frt_E_virgin
6.866446265	frt_E_virgin
6.899140485	frt_E_virgin
7.162864272	frt_E_virgin
7.225286559	frt_E_virgin
7.526654462	frt_E_virgin
7.547609763	frt_E_virgin
7.578024718	frt_E_virgin
7.807145676	frt_E_virgin
7.946929914	frt_E_virgin
8.077386255	frt_E_virgin
8.395626663	frt_E_virgin
9.260293525	frt_E_virgin
9.444294564	frt_E_virgin
-7.706520421	ov_M_virgin
-7.405047754	ov_M_virgin
-7.404038578	ov_M_virgin
-6.168765672	ov_M_virgin
-5.724016552	ov_M_virgin
-3.708704367	ov_M_virgin
-3.413183373	ov_M_virgin
-3.261533431	ov_M_virgin
-3.181482286	ov_M_virgin
-3.055200299	ov_M_virgin
-3.020494639	ov_M_virgin
-2.936861207	ov_M_virgin
-2.72538554	ov_M_virgin
-2.376329541	ov_M_virgin
-2.351179164	ov_M_virgin
-2.276285418	ov_M_virgin
-2.009886028	ov_M_virgin
-1.98499125	ov_M_virgin
-1.977917159	ov_M_virgin
-1.910384672	ov_M_virgin
-1.803172148	ov_M_virgin
-1.768187938	ov_M_virgin
-1.746892106	ov_M_virgin
-1.74549005	ov_M_virgin
-1.667661435	ov_M_virgin
-1.655770977	ov_M_virgin
-1.623579034	ov_M_virgin
-1.590989779	ov_M_virgin
-1.582350827	ov_M_virgin
-1.49818981	ov_M_virgin
-1.491798603	ov_M_virgin
-1.480200745	ov_M_virgin
-1.464786694	ov_M_virgin
-1.401095534	ov_M_virgin
-1.394366559	ov_M_virgin
-1.306535418	ov_M_virgin
-1.233931982	ov_M_virgin
-1.176698109	ov_M_virgin
-0.987071286	ov_M_virgin
-0.973242178	ov_M_virgin
-0.966008188	ov_M_virgin
-0.960823547	ov_M_virgin
-0.935860799	ov_M_virgin
-0.898432302	ov_M_virgin
-0.809384457	ov_M_virgin
-0.752564493	ov_M_virgin
-0.724874788	ov_M_virgin
-0.715683622	ov_M_virgin
-0.705839131	ov_M_virgin
-0.646160845	ov_M_virgin
-0.579247928	ov_M_virgin
-0.510433088	ov_M_virgin
-0.489734425	ov_M_virgin
-0.432783635	ov_M_virgin
0.44661615	ov_E_virgin
0.447723733	ov_E_virgin
0.465367609	ov_E_virgin
0.48222278	ov_E_virgin
0.516569232	ov_E_virgin
0.521630325	ov_E_virgin
0.591119388	ov_E_virgin
0.591294097	ov_E_virgin
0.603914227	ov_E_virgin
0.605509986	ov_E_virgin
0.606459625	ov_E_virgin
0.631643193	ov_E_virgin
0.638976572	ov_E_virgin
0.645521806	ov_E_virgin
0.680560183	ov_E_virgin
0.704179181	ov_E_virgin
